userId,movieId,rating,timestamp
26763,63876,4.0,1241215526
8966,4380,4.5,1071089112
86410,3869,2.0,1137051686
69852,6539,4.5,1421542145
39284,2599,4.0,1168981960
92872,45722,4.0,1204057009
33684,3811,4.0,967510871
44770,1892,3.0,976412157
99552,762,3.0,966597401
38824,1018,3.5,1214086924
109723,2485,3.0,1184238092
33765,4641,0.5,1277928841
45443,1077,0.5,1272355782
77681,1527,4.5,1231004764
33112,590,5.0,843853540
128984,318,3.5,1415279075
99525,8366,3.5,1091937822
42096,5266,3.0,1302226341
42556,4718,2.5,1297102235
88536,2458,1.0,989291401
39497,1334,3.0,1091458586
86164,1080,4.0,974747278
32991,58559,3.5,1386830015
3024,838,3.0,1322534266
117996,1464,5.0,897746055
35190,6365,4.0,1059758355
122249,1200,3.5,1217341173
38348,519,2.0,835825857
42834,296,4.0,1372492080
105084,2231,4.0,1231167076
75950,1608,4.0,963067256
109737,34162,3.5,1278465181
31321,58297,2.5,1231274772
58841,441,4.5,1281634859
79611,1951,5.0,972097225
15709,5738,1.0,1048534433
33016,1262,3.0,939037801
108047,318,4.5,1226807881
133339,2302,3.0,945552274
97857,4963,4.5,1363153331
93757,34162,3.5,1402637268
101675,2607,3.5,1322385030
86768,83374,4.0,1305265082
92406,367,4.0,842432355
47370,589,2.0,1193695863
131904,2780,3.0,1336305324
56225,40629,4.0,1175555634
113487,2364,2.0,1016297026
124964,318,5.0,985916433
90306,1374,4.0,938568131
6021,2194,3.0,975452413
125463,500,3.0,846286127
14551,5135,3.5,1099960837
89035,69140,4.0,1271034418
4089,2003,4.0,1106548627
122557,4734,2.5,1377152884
55830,2021,4.0,1039362237
68796,8932,4.0,1099685297
24052,1345,3.5,1059781764
52520,109487,4.5,1420329324
134352,552,3.0,1232314209
137031,106489,3.5,1421806629
52135,3386,5.0,1068672279
135399,26528,5.0,1330541573
49964,1884,1.0,940367814
17820,101360,4.5,1426295465
66090,1201,5.0,1415350366
131054,27611,4.5,1239647401
69124,7148,1.0,1280764291
91934,3264,3.0,978405733
102714,1641,4.0,1045182442
27469,2076,4.0,1195317839
130341,3510,3.5,1296091311
105216,122,1.5,1197814200
2992,3752,4.0,992929485
3223,546,0.5,1076166207
12213,3499,4.0,1034733142
31728,1597,2.0,945139298
69687,412,4.0,955491600
66143,2467,4.0,945631030
23264,260,4.0,1020278387
23982,1291,4.5,1312694764
10467,606,3.0,949289899
4674,454,4.0,949209132
68753,1228,4.0,986315573
98228,3041,1.0,975408530
136957,383,3.5,1116768940
50731,2809,1.0,944128619
79175,8609,3.5,1221775633
133746,1266,4.5,1389737267
82173,296,5.0,1165838881
20714,637,1.0,853345029
80479,3328,4.5,1243585197
33278,1291,4.0,1289495235
65401,2690,4.0,1045398398
71825,733,3.0,1135548847
79181,590,3.5,1252073418
134581,309,3.0,1015104487
36846,553,3.5,1414002858
16303,45720,4.0,1219778331
1687,8961,4.0,1422854145
10624,237,3.5,1131887817
40763,1219,4.0,1370433323
82082,2087,4.0,957651892
32487,7361,5.0,1183671073
94446,3102,4.0,993087123
120169,8784,5.0,1133810953
66204,2061,4.0,1049495479
93234,1090,3.5,1305474445
81505,369,4.0,840893060
19377,2700,4.0,948180088
47497,2716,2.5,1188017424
84803,2028,5.0,1126968638
126067,5004,3.0,1129624340
12117,153,1.5,1321812623
31805,6016,4.5,1225333381
241,68954,4.0,1343254383
127138,58103,4.0,1252695232
100712,5335,3.5,1053643721
102001,2485,3.0,1183495874
58641,4069,3.5,1185247243
65172,2377,3.0,1027686916
18183,4963,4.0,1216812233
90569,1374,1.0,1009939253
117269,91529,3.5,1388893246
131904,4857,3.5,1369598293
72856,2289,3.0,964667865
69724,4239,4.5,1111533461
130278,3219,2.0,974932144
76758,1608,2.5,1172006111
116724,2015,4.0,901623842
64542,671,4.0,853965668
35476,4993,5.0,1178502557
32545,5349,4.5,1149898776
35121,31952,4.0,1138029652
75962,1590,1.0,1093791170
90210,356,3.0,1089398027
115001,2144,4.0,1262230488
62633,1381,0.5,1361628032
112308,1359,2.0,976934337
131345,412,3.0,1025672667
17283,223,1.0,944956902
30628,2355,3.0,973272829
137046,26662,4.0,1283177629
6324,587,2.5,1195256807
38834,65216,4.0,1239559797
39497,8783,3.5,1106561983
23222,1286,4.0,956984612
7482,3448,4.0,1356646952
50684,5017,4.5,1190427541
89495,111759,1.0,1423116050
102646,3260,5.0,1123275780
74561,2421,2.0,1179492359
22963,2628,3.5,1399354613
18971,482,4.0,977361435
108949,260,4.0,1226778376
10129,3108,3.0,1007330082
32503,6377,3.0,1325891900
23055,6953,5.0,1136291781
91893,2042,2.0,1194649896
112264,1333,4.0,1373513582
113804,3615,3.0,1051389175
36428,3928,3.0,1262973459
32167,21,4.0,1079556824
84074,1144,5.0,849872616
137176,2918,4.0,956592534
109203,2006,2.0,1111163724
51646,5958,0.5,1113661112
61107,66665,4.0,1365171477
34584,5010,3.5,1093282695
19860,1230,5.0,997738269
52269,69122,4.5,1416500672
98521,329,4.0,1004710135
66876,2167,3.0,965022905
8363,2505,3.5,1188870526
72538,2410,3.0,1140790084
49240,48783,2.0,1225306337
102502,1014,4.0,945045106
26329,4306,4.5,1230920855
43384,54686,2.0,1201408641
34841,589,4.0,841588583
3485,2918,4.5,1192370769
132185,508,4.5,1259822221
38260,33493,3.5,1134753061
93300,344,3.5,1228919991
20066,5816,3.0,1063241932
52233,349,4.0,850990254
6034,43936,4.0,1299181015
17851,5502,2.5,1398679552
48821,377,5.0,1401919838
118632,2468,4.0,1116816905
12488,35836,0.5,1280520643
27961,260,4.0,1034883448
116215,8798,4.0,1179646240
109003,235,3.0,830781079
59205,2502,4.0,1137372132
116907,2567,3.5,1089657256
179,3264,3.0,1126000785
37603,457,4.0,974968936
113376,1701,4.0,938524639
134890,1222,4.0,1079993617
42743,5428,1.5,1112719747
47479,2001,4.0,915730025
52045,1183,5.0,1006971089
74733,8622,4.0,1127994031
124091,593,3.0,1226359983
42909,79224,3.0,1290805903
15439,110,3.0,1171135798
104703,356,4.0,1171586172
92694,2609,4.0,949807130
68762,4386,4.0,1031106784
4904,4025,4.0,978981163
55733,2710,3.0,939139304
75694,968,1.5,1106844198
132504,1078,4.0,946146755
83349,345,3.0,859932270
109882,2160,5.0,1181892063
23317,3412,2.0,975197003
20235,1783,3.0,951559075
51643,39,5.0,969174857
122044,1888,2.0,1000615999
96577,2459,2.0,1048830605
73,1286,3.0,963033526
2103,8464,4.0,1112557194
37264,4911,3.0,1094766590
124684,6377,4.5,1389679071
105059,21,3.0,1181603131
126121,410,3.5,1250108050
85251,76175,0.5,1284408072
15901,34,3.0,944941836
44975,1210,3.0,868277060
23039,108727,4.5,1422756464
71801,539,2.0,837456584
85491,360,5.0,841335885
87002,40815,0.5,1307586975
32585,50,5.0,989941996
29015,3310,5.0,951764533
45867,837,4.0,869494785
47484,3160,5.0,968634036
4772,6424,3.5,1059961722
107639,610,4.0,1344883829
52909,235,3.0,845656414
7165,1214,5.0,998836767
